Documento,Cantidad,Fecha,Producto,Precio,Total
PZA,1,,Sabritas Receta Crujiente Flamin Hot 49gr,17,17
Ticket,,21/02/2024,,,
PZA,2,,Vaso Individual del #8 1pza,1,2
PZA,1,,Coca Retornable 3LTS 3068,38,38
Ticket,,21/02/2024,,,
PZA,1,,Sidral Mundet 600ml,18,18
PZA,1,,Horchata Flor De Tabasco 1 lt,42,42
Ticket,,21/02/2024,,,
PZA,2,,Cafezzino Plus (cafe Omnilife) sobre,18,36
Ticket,,21/02/2024,,,
PZA,1,,Copias Tamaño Carta (hojas Blancas Individual),1.5,1.5
Ticket,,21/02/2024,,,
PZA,1,,Coca Cola Vidrio 1 1/4,24,24
,,,,,
Ticket,,21/02/2024,,,
PZA,1,,disfruta chocogalleta platano 307g,22,22
Ticket,,21/02/2024,,,
PZA,6,,Bombon Individual,1,6
Ticket,,21/02/2024,,,
PZA,1,,CORN GT30 355118550000716 TAVO 050224,549,549
Ticket,,21/02/2024,,,
PZA,1,,Barritas Fresa Mas Galleta 75g,17,17
PZA,1,,Caja Vacia De Huevo,6,6
Ticket,,21/02/2024,,,
PZA,1,,VOGUE 400HJ PAQ 4PZAS,30,30
PZA,7,,Huevo Crio Individual 1pza,3,21
Ticket,,21/02/2024,,,
PZA,1,,IMPRESION BLANCO Y NEGRO,3,3
Ticket,,21/02/2024,,,
PZA,1,,Fideo #2 La Moderna,9,9
PZA,0.32,,Queso De Hebra,125,40
Ticket,,21/02/2024,,,
PZA,1,,Ajo 1pza,7,7
PZA,1,,Vive 100 Guarana 300ml,14,14
PZA,1,,Avena Quaker 3min 288gr,20,20
PZA,1,,Jamaica bolsa 100gr,21,21
PZA,0.24,,Chuleta Aumada Salmi,147,35.28
Ticket,,21/02/2024,,,
PZA,1,,Fabuloso 500g Lavanda,19,19
PZA,1,,Leche Nito Bebida Chocolate 236G,13,13
Ticket,,21/02/2024,,,
PZA,1,,Sponch 120gr,22,22
Ticket,,21/02/2024,,,
PZA,1,,Bubbaloo Paleta Xtreme Mora 1Pz,5,5
PZA,1,,Bubba Xtreme Picamix Fuego 1Paleta,5,5
Ticket,,21/02/2024,,,
PZA,1,,Halls De Miel,8,8
Ticket,,21/02/2024,,,
PZA,0.5,,Queso Fresco,108,54
Ticket,,21/02/2024,,,
PZA,0.4,,Queso De Hebra,125,50
,,,,,
Ticket,,21/02/2024,,,
PZA,1,,Rebanadas Bimbo,8,8
Ticket,,21/02/2024,,,
PZA,1,,Garnier Tinte Nutrisse Fresa 5562,55,55
Ticket,,21/02/2024,,,
PZA,1,,Bubbaloo Paleta Xtreme Mora 1Pz,5,5
Ticket,,21/02/2024,,,
PZA,1,,Clorets Plus 4pastillas,3,3
Ticket,,21/02/2024,,,
PZA,1,,Power Frutas 1 Lt 317660,31,31
Ticket,,21/02/2024,,,
PZA,1,,Salsa Valentina 370g,19,19
Ticket,,21/02/2024,,,
PZA,1,,Princesa En Barra 350gr,14.5,14.5
PZA,0.5,,Arroz 1kg,21,10.5
Ticket,,21/02/2024,,,
PZA,1,,Pepsi 1.5Lt,23,23
Ticket,,21/02/2024,,,
PZA,1,,Chips Fuego 46g,17,17
Ticket,,21/02/2024,,,
PZA,4,,Huevo Crio Individual 1pza,3,12
Ticket,,21/02/2024,,,
PZA,1,,Huevo Crio Individual 1pza,3,3
Ticket,,21/02/2024,,,
PZA,1,,Tostitos Salsa Verde 70g,16,16
Ticket,,21/02/2024,,,
PZA,2,,Fibra Scotch Brite Gigante,20,40
Ticket,,21/02/2024,,,
PZA,1,,Fanta Fresa 600ml,18,18
Ticket,,21/02/2024,,,
PZA,2,,Cigarro Marlboro Individual 1Pza,6,12
Ticket,,21/02/2024,,,
PZA,0.24,,Queso De Hebra,125,30
Ticket,,21/02/2024,,,
PZA,1,,Valle Frut Citrus 600ML 330683,16,16
PZA,0.28,,Queso Fresco,108,30
Ticket,,21/02/2024,,,
PZA,1,,Servicio Domicilio,5,5
,,,,,
PZA,1,,COCA COLA 600ML PAQ 24PZ,382,382
Ticket,,21/02/2024,,,
PZA,0.24,,Queso De Hebra,125,30
Ticket,,21/02/2024,,,
PZA,1,,Mini Chokis 43g,10,10
PZA,1,,Concha vainilla 1pz 60g,11,11
Ticket,,21/02/2024,,,
PZA,1,,Nokia 110 290124 KIT,549,549
Ticket,,21/02/2024,,,
PZA,0.5,,Queso Fresco,108,54
PZA,1,,Valle Frut Citrus 3lt,36,36
PZA,1,,Principe Chocolate Blanco+2,22,22
PZA,1,,Submarinos Chocolate,22,22
Ticket,,21/02/2024,,,
PZA,0.4,,Queso De Hebra,125,50
PZA,0.46,,Queso Fresco,108,50
Ticket,,21/02/2024,,,
PZA,1,,Premier Higienico 425 Hjs,31,31
PZA,1,,Coca Cola 600ml,19,19
PZA,1,,Nito 1Pza 62g,15,15
Ticket,,21/02/2024,,,
PZA,2,,Servicio Domicilio,5,10
PZA,2,,COCA COLA 2.5LT RET PAQ 8PZ,245,490
Ticket,,21/02/2024,,,
PZA,0.23,,Jamon Rebanado Suly 1kg,65,15
Ticket,,21/02/2024,,,
PZA,1,,Prestobarba Permasharp,10,10
Ticket,,21/02/2024,,,
PZA,4,,Envios De Recargas,1,4
PZA,180,,RECARGAS XTREME (MULTICEL-MINISUPER),1,180
Ticket,,21/02/2024,,,
PZA,1,,Mouse Optico Inalambrico Vorago 102,170,170
Ticket,,21/02/2024,,,
PZA,2,,Chips Fuego 46g,17,34
Ticket,,21/02/2024,,,
PZA,1,,Coca Cola Vidrio 1 1/4,24,24
Ticket,,21/02/2024,,,
PZA,1,,Coca Retornable 3LTS 3068,37.05,37.05
,,,,,
Ticket,,21/02/2024,,,
PZA,1,,Sidral Munded Jumbo 3 Lts,38,38
PZA,1,,Chile Chipotle Morena 100gr,15,15
PZA,1,,Mediacrema Lala 480ml,26,26
PZA,0.61,,Salchijocho Pavo Any Agranel,49,30
Ticket,,21/02/2024,,,
PZA,1,,Valle Frut Citrus 2 Litros 330461,30,30
Ticket,,21/02/2024,,,
PZA,1,,Cable USB2.0 V8 1HORA,50,50
PZA,1,,Turbo Cargador V8 Negro 1Hora 7503027214007,100,100
Ticket,,21/02/2024,,,
PZA,4,,HUEVO CRIO CONO 30PZ,64,256
Ticket,,21/02/2024,,,
PZA,1,,Yoplait Licuado De Fresa 470gm 9534,24,24
PZA,1,,Activia Ciruela Pasa 250g,16,16
Ticket,,21/02/2024,,,
PZA,1,,Hielo Individual,5,5
Ticket,,21/02/2024,,,
PZA,1,,Panquecito Gotitas Chocolate 2pza 140g,23,23
Ticket,,21/02/2024,,,
PZA,1,,Senwa Disco S301A 290124 KIT,419,419
Ticket,,21/02/2024,,,
PZA,1,,Agua Ciel 1.5 Lts 4721,16,16
Ticket,,21/02/2024,,,
PZA,1,,Cable USB2.0 V8 1HORA,50,50
Ticket,,21/02/2024,,,
PZA,1,,Pepsi 1.5Lt,23,23
Ticket,,21/02/2024,,,
PZA,3,,Clorets Menta 2.8gr 2Pastillas,1.5,4.5
Ticket,,21/02/2024,,,
PZA,1,,Tostitos Salsa Verde 70g,16,16
Ticket,,21/02/2024,,,
PZA,5,,Copias Tamaño Carta (hojas Blancas Individual),1.5,7.5
PZA,1,,COPIA CREDENCIAL,2,2
Ticket,,21/02/2024,,,
PZA,1,,Totopos 280G Normal,32,32
Ticket,,21/02/2024,,,
PZA,1,,Sabritas Flamin Hot 45gm,17,17
,,,,,
Ticket,,21/02/2024,,,
PZA,1,,Yoplait Griego Sin Azucar 220g 9529,11.5,11.5
Ticket,,21/02/2024,,,
PZA,1,,Mini Barritas Piña Tubo 222g,33,33
Ticket,,21/02/2024,,,
PZA,1,,Halls Sabor Mora Azul,8,8
PZA,1,,Halls extra Strong 25gr 4401,8,8
Ticket,,21/02/2024,,,
PZA,3,,COPIA CREDENCIAL,2,6
Ticket,,21/02/2024,,,
PZA,1,,Barritas Fresa Mas Galleta 75g,17,17
PZA,1,,Paleta cupido vero fresa,3,3
Ticket,,21/02/2024,,,
PZA,0.48,,Queso De Hebra,125,60
Ticket,,21/02/2024,,,
PZA,2,,Paleta Cupido Chamoy Individual 1pz,1.5,3
PZA,5,,Paleta cupido vero fresa,3,15
PZA,1,,Sidral Munded Jumbo 3 Lts,38,38
Ticket,,21/02/2024,,,
PZA,12,,Envios De Recargas,1,12
PZA,555,,ICSI Recargas Xtreme,1,555
Ticket,,21/02/2024,,,
PZA,2,,Paleta cupido vero fresa,3,6
Ticket,,21/02/2024,,,
PZA,1,,Concha vainilla 1pz 60g,11,11
Ticket,,21/02/2024,,,
PZA,0.19,,Queso Fresco,108,20
Ticket,,21/02/2024,,,
PZA,0.23,,Jamon Rebanado Suly 1kg,65,15
Ticket,,21/02/2024,,,
PZA,1,,Bolsa individual Naylo Gde 1pz,3,3
PZA,2,,Totopos 280G Normal,32,64
PZA,1,,Pila Rayovac Triple AAA par,22,22
PZA,2,,Pila Rayovac Doble AA 1pz,11,22
Ticket,,21/02/2024,,,
PZA,1,,CIGARROS MARLBORO ROJO CORTOS 20PZ,81,81
Ticket,,21/02/2024,,,
PZA,0.15,,Jamon Rebanado Suly 1kg,65,10
,,,,,
PZA,0.5,,Queso De Hebra,125,62.5
Ticket,,21/02/2024,,,
PZA,1,,Sabritas Sal Original 45g,17,17
Ticket,,21/02/2024,,,
PZA,1,,Valle Frut Citrus 600ML 330683,16,16
PZA,6,,Yomi Chocolate 190ml,8,48
Ticket,,21/02/2024,,,
PZA,1,,Elite Higienico Mediano 300 Hjs,25,25
Ticket,,21/02/2024,,,
PZA,1,,Envios De Recargas,1,1
PZA,50,,RECARGAS XTREME (MULTICEL-MINISUPER),1,50
Ticket,,21/02/2024,,,
PZA,1,,Frijoles Refritos La Sierra 440g,16,16
PZA,1,,QUESO CASTEL PAQ 10PZA,13,13
PZA,1,,Aceite Purela Soya 800ml,36,36
PZA,3,,Huevo Crio Individual 1pza,3,9
PZA,1,,Pan Molido Bimbo Clasico 210g,28,28
PZA,0.46,,Jamon Rebanado Suly 1kg,65,30
Ticket,,21/02/2024,,,
PZA,1,,chips fuego 62g,20,20
Ticket,,21/02/2024,,,
PZA,1,,Harina Selecta 1kg,22,22
Ticket,,21/02/2024,,,
PZA,1,,Power Mora 1 Lt,31,31
Ticket,,21/02/2024,,,
PZA,1,,Concha vainilla 1pz 60g,11,11
Ticket,,21/02/2024,,,
PZA,0.24,,Queso De Hebra,125,30
PZA,1,,Tortillina Del Hogar 220 g,18,18
Ticket,,21/02/2024,,,
PZA,1050,,MASTERXTREME MAYOREO RECARGA,0.95,997.5
Ticket,,21/02/2024,,,
PZA,1,,Fanta Jumbo Fresa 3lts,38,38
Ticket,,21/02/2024,,,
PZA,1050,,MASTERXTREME MAYOREO RECARGA,0.95,997.5
Ticket,,21/02/2024,,,
PZA,0.5,,Azucar 1 Kg,26,13
PZA,1,,Nutrileche 1pza,20,20
,,,,,
Ticket,,21/02/2024,,,
PZA,1,,Nito 1Pza 62g,15,15
PZA,1,,Leche Nito Bebida Chocolate 236G,13,13
Ticket,,21/02/2024,,,
PZA,1,,Doritos Nacho 61gr,17,17
Ticket,,21/02/2024,,,
PZA,1,,Jumex Nectar de Uva 1 lt,26,26
Ticket,,21/02/2024,,,
PZA,0.15,,Jamon Rebanado Suly 1kg,65,10
Ticket,,21/02/2024,,,
PZA,1,,Leche Clavel 356ml,22,22
Ticket,,21/02/2024,,,
PZA,1,,Takis Huakamoles 65g,16,16
PZA,1,,Elote Herdez 225g,15,15
PZA,1,,Saladita 186GM,20,20
PZA,1,,Mayonesa #4 105g,18,18
PZA,2,,Atun Nair En Agua 140g,15,30
Ticket,,21/02/2024,,,
PZA,1,,Calculadora Cientifica Casio FX82,389,389
Ticket,,21/02/2024,,,
PZA,1,,Bizcochito Gamesa 150G 100173,14,14
PZA,1,,Barras de Coco 106g 100957,19,19
Ticket,,21/02/2024,,,
PZA,1,,Envios De Recargas,1,1
PZA,15,,RECARGAS XTREME (MULTICEL-MINISUPER),1,15
Ticket,,22/02/2024,,,
PZA,1,,Vogue Higienico De Rollo Ind,8,8
Ticket,,22/02/2024,,,
PZA,0.5,,Frijol Michigan Mustang Kg,40,20
Ticket,,22/02/2024,,,
PZA,1,,Doritos Nacho 61gr,17,17
Ticket,,22/02/2024,,,
PZA,1,,Tortillina Del Hogar 220 g,18,18
PZA,0.12,,Queso De Hebra,125,15
Ticket,,22/02/2024,,,
PZA,0.16,,Queso De Hebra,125,20
PZA,0.28,,Queso Fresco,108,30
Ticket,,22/02/2024,,,
,,,,,
PZA,0.5,,Jamon Rebanado Suly 1kg,65,32.5
PZA,0.8,,Queso De Hebra,125,100
Ticket,,22/02/2024,,,
PZA,1,,Yoghurt Yoplait Fresa 330g 9112,17.5,17.5
Ticket,,22/02/2024,,,
PZA,1,,Agua Ciel 1lt 310883,13,13
Ticket,,22/02/2024,,,
PZA,1,,Bolsa Basura Mediana 1pza,5,5
Ticket,,22/02/2024,,,
PZA,0.15,,Jamon Rebanado Suly 1kg,65,10
Ticket,,22/02/2024,,,
PZA,0.09,,Salchijocho Pavo Any Agranel,49,4.51
Ticket,,22/02/2024,,,
PZA,2,,Espagueti 200 gr,9,18
PZA,1,,Pan Molido Bimbo Clasico 210g,28,28
Ticket,,22/02/2024,,,
PZA,1,,Talco Dos Caras Bebe 150gr,30,30
Ticket,,22/02/2024,,,
PZA,1,,Talco Dos Caras 150gr,36,36
Ticket,,22/02/2024,,,
PZA,2,,Epura Garrafon 20 Lts,42,84
Ticket,,22/02/2024,,,
PZA,0.25,,Bolsa Natural 20x30 Para Kg,76,19
Ticket,,22/02/2024,,,
PZA,1,,Buscapina Compuesta,19,19
Ticket,,22/02/2024,,,
PZA,1,,Queso Crema La Escondida 250g,17,17
Ticket,,22/02/2024,,,
PZA,1,,Talco Dos Caras Bebe 150gr,30,30
Ticket,,22/02/2024,,,
PZA,1,,Vogue Higienico De Rollo Ind,8,8
Ticket,,22/02/2024,,,
PZA,5,,Huevo Crio Individual 1pza,3,15
Ticket,,22/02/2024,,,
PZA,1,,Huevo Crio Individual 1pza,3,3
Ticket,,22/02/2024,,,
PZA,1,,Vaso de Unicel 1/2 Lt,30,30
Ticket,,22/02/2024,,,
,,,,,
PZA,1,,Fibra Espiral chica,5,5
Ticket,,22/02/2024,,,
PZA,1,,Salvo Liquido 215ml,16,16
PZA,0.24,,Queso De Hebra,125,30
Ticket,,22/02/2024,,,
PZA,1,,Blanca Nieves 500g,22,22
Ticket,,22/02/2024,,,
PZA,3,,Huevo Crio Individual 1pza,3,9
PZA,1,,Suavicrema De Chocolate 100g,17,17
Ticket,,22/02/2024,,,
PZA,1,,Sabritas Sal Original 45g,17,17
PZA,1,,Leche Nito Bebida Chocolate 236G,13,13
PZA,1,,Maravillas Gamesa 116g,18,18
Ticket,,22/02/2024,,,
PZA,1,,Memoria USB 8 GB Acer,140,140
Ticket,,22/02/2024,,,
PZA,1,,Icsi Comision Servicio TMAC 1-500,10,10
PZA,452,,ICSI Pago Servicio TMAC,1,452
Ticket,,22/02/2024,,,
PZA,1,,Coca Retornable 3LTS 3068,38,38
Ticket,,22/02/2024,,,
PZA,1,,Valle Frut Citrus 355 ml 342198,10,10
Ticket,,22/02/2024,,,
PZA,1,,Clarasol 500ml,7,7
Ticket,,22/02/2024,,,
PZA,1,,Nescafe Clasico Black 40gr,28,28
Ticket,,22/02/2024,,,
PZA,2,,Lala deslactosada 1lit,25,50
Ticket,,22/02/2024,,,
PZA,1,,Chicharo Herdez 215GR,10,10
PZA,1,,Arroz 1kg,19.5,19.5
Ticket,,22/02/2024,,,
PZA,0.24,,Queso De Hebra,125,30
PZA,1,,Coca Retornable 3LTS 3068,38,38
Ticket,,22/02/2024,,,
PZA,1,,NORSUIZA CAJITA 2PZA,5,5
PZA,1,,NORTOMATE CAJA 2PZ,5,5
PZA,1,,HUEVO CRIO 1/2 CONO,32,32
,,,,,
Ticket,,22/02/2024,,,
PZA,1,,Mediacrema Nestle lata 225g,17.5,17.5
PZA,0.46,,Queso Fresco,108,50
Ticket,,22/02/2024,,,
PZA,1,,Bubbaloo Pik Pop Piña Chamoy 1pz,2,2
PZA,0.14,,Queso Fresco,108,15
Ticket,,22/02/2024,,,
PZA,2,,HUEVO CRIO CONO 30PZ,64,128
Ticket,,22/02/2024,,,
PZA,2,,Crossantines 32g,6,12
Ticket,,22/02/2024,,,
PZA,1,,Coca Cola 600ml,19,19
Ticket,,22/02/2024,,,
PZA,1,,Electrolit Fresa 625 Ml,27,27
PZA,1,,Homo Omnilife 1sobre,18.5,18.5
PZA,1,,Omniplus Sobre Omnilife,21.5,21.5
PZA,1,,Magnus Sobre Omnilife 20g,17,17
PZA,1,,Fibern Plus Sobre,14.5,14.5
PZA,1,,Aloe Beta omnilife Sabor Piña 200ml,42,42
Ticket,,22/02/2024,,,
PZA,1,,Servicio Domicilio,5,5
PZA,1,,COCA RETORNABLE 3LTS PAQ 6PZA,197,197
Ticket,,22/02/2024,,,
PZA,1,,Queso Crema La Escondida 250g,17,17
PZA,0.24,,Queso De Hebra,125,30
Ticket,,22/02/2024,,,
PZA,1,,Pan Molido Crujiente 175g,28,28
PZA,1,,Mayonesa #8 190g,27,27
Ticket,,22/02/2024,,,
PZA,0.32,,Queso De Hebra,125,40
Ticket,,22/02/2024,,,
PZA,0.5,,Harina Selecta 1kg,22,11
Ticket,,22/02/2024,,,
PZA,2,,Yakult 80ml,10,20
Ticket,,22/02/2024,,,
PZA,1050,,MASTERXTREME MAYOREO RECARGA,0.95,997.5
Ticket,,22/02/2024,,,
PZA,1,,Diurex Janel,5,5
,,,,,
Ticket,,22/02/2024,,,
PZA,1,,Mini Barritas Fresa Tubo 222g,32,32
PZA,1,,Coca Cola Vidrio 1 1/4,24,24
Ticket,,22/02/2024,,,
PZA,2,,Servicio Domicilio,5,10
PZA,2,,COCA RETORNABLE 3LTS PAQ 6PZA,197,394
Ticket,,22/02/2024,,,
PZA,1,,Activia Ciruela Pasa 250g,16,16
Ticket,,22/02/2024,,,
PZA,0.16,,Queso De Hebra,125,20
PZA,0.5,,Frijol Michigan Mustang Kg,40,20
Ticket,,22/02/2024,,,
PZA,1,,Sidral Mundet 600ml,18,18
Ticket,,22/02/2024,,,
PZA,2,,Vaso Individual del #8 1pza,1,2
PZA,1,,Coca Retornable 3LTS 3068,38,38
Ticket,,22/02/2024,,,
PZA,2,,Vaso Individual del #8 1pza,1,2
Ticket,,22/02/2024,,,
PZA,1,,Pepsi 1.5Lt,23,23
Ticket,,22/02/2024,,,
PZA,1,,Vaso Individual del #8 1pza,1,1
Ticket,,22/02/2024,,,
PZA,1,,Cerillo Clasico Individual,3.5,3.5
Ticket,,22/02/2024,,,
PZA,0.41,,Salchijocho Pavo Any Agranel,49,20
Ticket,,22/02/2024,,,
PZA,3,,Vaso Individual del #8 1pza,1,3
PZA,1,,Coca Cola Vidrio 1 1/4,24,24
Ticket,,22/02/2024,,,
PZA,1,,Takis Fuego Mas Picante 65g,17,17
Ticket,,22/02/2024,,,
PZA,1,,Paketaxo Xtra Flamin Hot 70gr,18,18
PZA,1,,Cheetos Flamin Hot 52gr,14,14
PZA,1,,Ruffles Queso 52g,17,17
Ticket,,22/02/2024,,,
PZA,2,,Bubbaloo Paleta Xtreme Mora 1Pz,5,10
PZA,1,,Bubba Xtreme Picamix Fuego 1Paleta,5,5
,,,,,
Ticket,,22/02/2024,,,
PZA,1,,Valle Frut Citrus 355 ml 342198,10,10
PZA,1,,Cheetos Flamin Hot 52gr,14,14
Ticket,,22/02/2024,,,
PZA,1,,Sabritas Flamin Hot 45gm,17,17
PZA,1,,Ruffles Queso 52g,17,17
PZA,1,,Pastisetas 75 Gms,27,27
Ticket,,22/02/2024,,,
PZA,2,,Vaso Individual del #8 1pza,1,2
PZA,1,,Coca Retornable 3LTS 3068,38,38
Ticket,,22/02/2024,,,
PZA,1,,Coca Cola 600ml,19,19
Ticket,,22/02/2024,,,
PZA,2,,Bubbaloo Paleta Xtreme Mora 1Pz,5,10
Ticket,,22/02/2024,,,
PZA,1,,Leche Nito Bebida Chocolate 236G,13,13
PZA,1,,Chocolatines 42g Gamesa,13,13
Ticket,,22/02/2024,,,
PZA,0.5,,Queso Fresco,108,54
Ticket,,22/02/2024,,,
PZA,1,,Pepto Bismol C/U,5,5
Ticket,,22/02/2024,,,
PZA,1,,Silicon líquido selanusa 31ml,14,14
Ticket,,22/02/2024,,,
PZA,1,,Clorets Menta 2.8gr 2Pastillas,1.5,1.5
PZA,1,,Lala deslactosada 1lit,25,25
Ticket,,22/02/2024,,,
PZA,1,,Epura 600 ml,11,11
Ticket,,22/02/2024,,,
PZA,1,,Mini Takis Fuego 35,10,10
Ticket,,22/02/2024,,,
PZA,1,,Churrumais mas producto 60gr,14,14
PZA,2,,Nito 1Pza 62g,15,30
PZA,1,,Big Mix 75g,16,16
Ticket,,22/02/2024,,,
PZA,6,,Huevo Crio Individual 1pza,3,18
Ticket,,22/02/2024,,,
PZA,1,,Valle Frut Citrus 2 Litros 330461,30,30
,,,,,
Ticket,,22/02/2024,,,
PZA,5,,Vaso Individual del #8 1pza,1,5
Ticket,,22/02/2024,,,
PZA,2,,Clorets Plus 4pastillas,3,6
PZA,1,,Donas 6p Bimbo 158g,22,22
Ticket,,22/02/2024,,,
PZA,1,,Axe 48Hrs Maxima Frescura 150ml,59,59
Ticket,,22/02/2024,,,
